long,short,signal,profit,numero_operaciones,return_factor,ganancia_total
41,15,15,2.324573014691766,54,1.000794294242747,4.289188910833787
43,19,10,2.3243634529543815,56,1.0007976024911867,4.466573950645753
43,10,19,2.3243634529543815,56,1.0007976024911867,4.466573950645753
38,17,14,2.3240659961054715,54,1.0007981960884322,4.310258877533532
38,14,17,2.3240659961054715,54,1.0007981960884322,4.310258877533532
18,12,18,2.3236252649733795,72,1.0006878103372043,4.95223442787099
29,12,24,2.323602243821716,54,1.0008083347484118,4.365007641422919
29,24,12,2.323602243821716,54,1.0008083347484118,4.365007641422919
38,20,11,2.3232432618584267,55,1.0007996299398625,4.397964669243053
38,11,20,2.3232432618584267,55,1.0007996299398625,4.397964669243053
43,17,12,2.322358504090497,54,1.0008093359317214,4.370414031296109
43,12,17,2.322358504090497,54,1.0008093359317214,4.370414031296109
36,13,19,2.322007504512877,54,1.000797661665062,4.307372991335296
36,19,13,2.322007504512877,54,1.000797661665062,4.307372991335296
34,11,23,2.3216539130784857,54,1.0007975697706601,4.306876761564679
34,23,11,2.3216539130784857,54,1.0007975697706601,4.306876761564679
26,24,12,2.3216188358026346,55,1.0007995393390507,4.397466364778694
26,12,24,2.3216188358026346,55,1.0007995393390507,4.397466364778694
41,17,12,2.321610461925682,55,1.0007972272950454,4.3847501227504
41,12,17,2.321610461925682,55,1.0007972272950454,4.3847501227504
20,19,22,2.3213234876975566,53,1.0008032786619983,4.257376908590505
22,19,20,2.3213234876975566,53,1.0008032786619983,4.257376908590505
22,20,19,2.3213234876975566,53,1.0008032786619983,4.257376908590505
21,20,20,2.3213234876975566,53,1.0008032786619983,4.257376908590505
21,19,21,2.3213234876975566,53,1.0008032786619983,4.257376908590505
41,16,14,2.3207757426808624,54,1.0007933130732383,4.283890595486784
41,14,16,2.3207757426808624,54,1.0007933130732383,4.283890595486784
29,17,17,2.3195178631535627,53,1.0008173188757776,4.331790041621061
29,16,18,2.3187704559848576,53,1.0008218387020975,4.355745121116522
29,18,16,2.3187704559848576,53,1.0008218387020975,4.355745121116522
36,20,12,2.3184463904211574,54,1.0007981053879147,4.309769094739259
36,12,20,2.3184463904211574,54,1.0007981053879147,4.309769094739259
31,18,15,2.3182708209024168,53,1.0008165464488183,4.327696178736866
31,15,18,2.3182708209024168,53,1.0008165464488183,4.327696178736866
31,14,17,2.318267247411936,57,1.000765651992717,4.364216358487511
31,17,14,2.318267247411936,57,1.000765651992717,4.364216358487511
35,19,13,2.3171304389954805,53,1.0008106242032624,4.296308277290724
35,13,19,2.3171304389954805,53,1.0008106242032624,4.296308277290724
42,10,19,2.316153679802004,56,1.0007930688535382,4.441185579814707
42,19,10,2.316153679802004,56,1.0007930688535382,4.441185579814707
40,20,10,2.315666821138559,56,1.0007874211332182,4.409558346022547
40,10,20,2.315666821138559,56,1.0007874211332182,4.409558346022547
23,16,22,2.3155207077780022,54,1.0008051726131633,4.347932111081701
25,18,18,2.3155207077780022,54,1.0008051726131633,4.347932111081701
22,16,23,2.3155207077780022,54,1.0008051726131633,4.347932111081701
23,22,16,2.3155207077780022,54,1.0008051726131633,4.347932111081701
29,13,24,2.314401253966921,53,1.0007844010617375,4.15732562720883
29,24,13,2.314401253966921,53,1.0007844010617375,4.15732562720883
41,13,16,2.314043371933398,55,1.0007940704878406,4.367387683123075
41,14,15,2.314043371933398,55,1.0007940704878406,4.367387683123075
39,12,18,2.314043371933398,55,1.0007940704878406,4.367387683123075
39,18,12,2.314043371933398,55,1.0007940704878406,4.367387683123075
41,16,13,2.314043371933398,55,1.0007940704878406,4.367387683123075
41,15,14,2.314043371933398,55,1.0007940704878406,4.367387683123075
20,15,13,2.31324928604172,72,1.0006824185501504,4.913413561083393
20,13,15,2.31324928604172,72,1.0006824185501504,4.913413561083393
15,13,20,2.31324928604172,72,1.0006824185501504,4.913413561083393
